filename,family,volume_fraction,n_components,connectivity,percolates_x,percolates_y,symmetry,stiffness_class,auxetic_like
holes_000.png,holes,0.5923,3,few,0,1,none,low,0
holes_001.png,holes,0.6316,2,few,1,1,none,high,0
holes_002.png,holes,0.4131,2,few,0,1,biaxial,low,0
holes_003.png,holes,0.6465,1,single,1,1,none,high,0
holes_004.png,holes,0.7942,1,single,1,1,none,high,0
holes_005.png,holes,0.5303,1,single,1,1,biaxial,medium,0
holes_006.png,holes,0.6042,2,few,1,1,none,high,0
holes_007.png,holes,0.6455,1,single,1,1,biaxial,high,0
holes_008.png,holes,0.7275,1,single,1,1,biaxial,high,0
holes_009.png,holes,0.803,1,single,1,1,none,high,0
holes_010.png,holes,0.7185,1,single,1,1,none,high,0
holes_011.png,holes,0.834,1,single,1,1,none,high,0
holes_012.png,holes,0.7141,1,single,1,1,none,high,0
holes_013.png,holes,0.8193,1,single,1,1,biaxial,high,0
holes_014.png,holes,0.2803,8,many,0,0,biaxial,very_low,0
holes_015.png,holes,0.7168,1,single,1,1,biaxial,high,0
holes_016.png,holes,0.7585,2,few,1,1,none,high,0
holes_017.png,holes,0.5791,2,few,1,1,biaxial,high,0
holes_018.png,holes,0.5808,1,single,1,1,none,high,0
holes_019.png,holes,0.6978,1,single,1,1,none,high,0
holes_020.png,holes,0.5767,1,single,1,1,none,high,0
holes_021.png,holes,0.2988,5,many,1,0,biaxial,low,0
holes_022.png,holes,0.8132,1,single,1,1,none,high,0
holes_023.png,holes,0.6201,2,few,1,1,none,high,0
holes_024.png,holes,0.5881,2,few,1,1,none,high,0
holes_025.png,holes,0.8462,1,single,1,1,none,high,0
holes_026.png,holes,0.7236,1,single,1,1,biaxial,high,0
holes_027.png,holes,0.4893,2,few,0,1,biaxial,low,0
holes_028.png,holes,0.8506,1,single,1,1,biaxial,high,0
holes_029.png,holes,0.2588,4,many,1,0,biaxial,low,0
holes_030.png,holes,0.6396,3,few,1,1,biaxial,high,0
holes_031.png,holes,0.418,3,few,0,1,biaxial,low,0
holes_032.png,holes,0.7126,1,single,1,1,none,high,0
holes_033.png,holes,0.5908,1,single,1,1,biaxial,high,0
holes_034.png,holes,0.4656,1,single,1,1,none,medium,0
holes_035.png,holes,0.8276,1,single,1,1,none,high,0
holes_036.png,holes,0.7051,1,single,1,1,biaxial,high,0
holes_037.png,holes,0.8503,1,single,1,1,none,high,0
holes_038.png,holes,0.6792,1,single,1,1,none,high,0
holes_039.png,holes,0.7878,1,single,1,1,none,high,0
holes_040.png,holes,0.708,1,single,1,1,none,high,0
holes_041.png,holes,0.5554,1,single,1,1,none,high,0
holes_042.png,holes,0.833,1,single,1,1,none,high,0
holes_043.png,holes,0.7725,1,single,1,1,biaxial,high,0
holes_044.png,holes,0.8291,1,single,1,1,biaxial,high,0
holes_045.png,holes,0.8555,2,few,1,0,biaxial,low,0
holes_046.png,holes,0.6738,1,single,1,1,biaxial,high,0
holes_047.png,holes,0.835,1,single,1,1,biaxial,high,0
holes_048.png,holes,0.8633,1,single,1,1,biaxial,high,0
holes_049.png,holes,0.814,1,single,1,1,none,high,0
holes_050.png,holes,0.8308,1,single,1,1,none,high,0
holes_051.png,holes,0.2754,7,many,0,1,biaxial,low,0
holes_052.png,holes,0.8474,1,single,1,1,none,high,0
holes_053.png,holes,0.7322,1,single,1,1,none,high,0
holes_054.png,holes,0.4453,3,few,1,1,biaxial,medium,0
holes_055.png,holes,0.8633,1,single,1,1,none,high,0
holes_056.png,holes,0.7981,1,single,1,1,none,high,0
holes_057.png,holes,0.7148,7,many,1,1,biaxial,high,0
holes_058.png,holes,0.6758,2,few,1,1,none,high,0
